Time	Detection	N	maxAmp	geoMax	meanSNR	maxSNR	Class	closestBor	Vup	Vdown
2023-06-01 03:23:26.798	000010110110100110000000000	8	    404.7	1	     7.4	     13.1	Inspect	NaN	NaN	NaN
2023-06-01 03:23:41.889	100111110110110110000110000	14	    733.9	6	     9.0	     21.2	Inspect	NaN	NaN	NaN
2023-06-01 06:44:15.814	110111111111111111100110000	20	    890.9	6	    18.0	    112.9	HF_2	2	NaN	425
2023-06-01 10:00:18.064	111111111110110110100110000	18	    570.9	6	    14.2	     81.0	SnowAvalanche	NaN	NaN	NaN
2023-06-01 16:22:30.679	001001111111111111101111000	19	   5134.6	6	    44.8	    263.6	HF_6	6	1305	1025
2023-06-01 18:35:49.187	110111111111110110000000000	15	    550.0	6	    11.6	     51.6	HF_5	5	465	280
2023-06-02 00:20:06.097	011101111111111111000000000	16	   1823.2	4	    39.9	    291.8	HF_4	4	1715	1655
2023-06-02 01:47:53.599	110111110110110110000010000	14	    437.7	8	    13.0	     40.2	Inspect	NaN	NaN	NaN
2023-06-02 06:54:25.720	110110110110010010000110000	12	    391.3	8	    11.1	     45.8	Inspect	NaN	NaN	NaN
2023-06-02 09:05:53.093	110111110110110110010010000	15	    380.9	6	    12.6	     51.1	Inspect	NaN	NaN	NaN
2023-06-02 09:25:34.750	111111111111111110000000000	17	    834.5	1	    20.3	     66.2	HF_1	1	NaN	845
2023-06-02 09:45:33.858	100110110110100010010000000	10	    357.8	1	     8.5	     20.7	HF_1	1	NaN	855
2023-06-02 13:41:40.505	011101111111111111000000000	16	   2765.4	4	    55.7	    451.4	HF_4	4	1705	1705
2023-06-02 16:14:37.389	010110110110110010000110000	12	   1911.7	6	    34.6	     91.4	Inspect	NaN	NaN	NaN
2023-06-02 16:15:11.987	000111110110100110010110000	13	    560.8	6	     6.6	     10.0	Inspect	NaN	NaN	NaN
2023-06-02 16:30:13.231	001111111111111111101110000	20	    975.1	5	    38.7	    137.4	Inspect	NaN	NaN	NaN
2023-06-02 19:55:06.702	111111111111111111111111000	24	   8110.0	6	   159.0	   1226.7	HF_6	6	1825	2325
2023-06-02 20:04:55.991	000001001111111111100010000	13	   1562.2	6	    23.9	    246.4	HF_6	6	1695	1110
2023-06-02 21:38:05.475	011001111111111111100110000	18	   2756.3	6	    42.4	    376.7	HF_6	6	1890	2170
2023-06-03 01:19:13.600	000110110110110100000000000	9	    553.2	4	    14.4	     89.1	HF_3	3	1505	1065
2023-06-03 02:46:55.166	111111111111111111111111000	24	   2363.1	6	    54.7	    133.4	Inspect	NaN	NaN	NaN
2023-06-03 03:17:28.200	111111111111110110100110000	19	    794.1	6	    14.7	     51.2	Inspect	NaN	NaN	NaN
2023-06-03 03:21:56.592	111111111111111111111111000	24	   5374.6	1	    47.9	     81.1	Inspect	NaN	NaN	NaN
2023-06-03 04:17:52.416	111111111111111111110110000	22	    919.7	6	    32.8	     87.3	Inspect	NaN	NaN	NaN
2023-06-03 07:27:11.003	111111111111111111101110000	22	   3336.7	6	    66.1	    268.2	HF_6	6	1255	1310
2023-06-03 09:04:08.586	011001010000101011010010000	10	   3307.1	1	    38.7	     79.9	Inspect	NaN	NaN	NaN
2023-06-03 09:04:25.575	001001000100010010110110000	9	   2693.4	6	     7.5	     17.3	Inspect	NaN	NaN	NaN
2023-06-03 10:07:46.689	001101111001000100010000000	9	    376.2	8	     8.7	     29.5	HF_1	1	NaN	495
2023-06-03 10:08:10.548	001111111111110010000000000	13	    956.9	1	    15.4	     68.0	HF_1	1	NaN	840
2023-06-03 14:51:20.696	000001001111111110000000000	10	   1419.2	5	    23.2	    169.2	HF_4	4	980	1330
2023-06-04 04:07:26.164	000110110110100010000000000	8	    721.9	6	    11.5	     18.8	Inspect	NaN	NaN	NaN
2023-06-04 04:08:11.960	110111111111110110100110000	18	    521.9	6	    10.3	     17.4	Inspect	NaN	NaN	NaN
2023-06-04 06:09:05.322	111111111010100110000000000	13	    400.8	8	     9.0	     21.4	HF_1	1	NaN	525
2023-06-04 08:20:12.870	111111111110110010000010000	15	    481.4	8	     7.9	     14.4	Inspect	NaN	NaN	NaN
2023-06-04 10:00:21.959	110011000100010000100110000	9	    417.1	8	    12.7	     45.0	Inspect	NaN	NaN	NaN
2023-06-04 11:01:11.428	111111111110110100000000000	14	    820.7	3	    22.3	     96.7	HF_2	2	1135	2305
2023-06-04 11:05:24.629	111111111111111011000000000	17	   2400.2	1	    38.4	    167.9	HF_1	1	NaN	1095
2023-06-04 14:16:11.300	111111111111111011101000000	19	   2603.4	1	    42.7	    200.5	HF_1	1	NaN	1300
2023-06-04 14:45:53.135	111111111111111111101110000	22	   3161.7	6	   130.6	    420.6	Inspect	NaN	NaN	NaN
2023-06-04 17:19:00.458	110111111110110110100110000	17	    604.9	6	    17.1	     85.1	HF_5	5	805	2620
2023-06-04 19:59:31.036	000111110110100110000000000	10	   1010.3	6	    24.0	    140.5	Inspect	NaN	NaN	NaN
2023-06-04 20:58:55.647	000110110110100110000000000	9	    441.5	8	     9.5	     33.9	Inspect	NaN	NaN	NaN
2023-06-04 21:43:41.506	011111111111111110000000000	16	   1200.9	3	    21.7	    101.1	HF_1	1	NaN	640
2023-06-04 22:04:58.791	110111110110110000100110000	14	    416.9	6	    10.0	     22.5	Inspect	NaN	NaN	NaN
2023-06-04 22:55:41.865	110001110110100110000000000	10	    774.3	6	    17.9	    105.4	Inspect	NaN	NaN	NaN
2023-06-05 00:59:10.696	111111111111110100010110000	18	   1976.3	1	    41.2	    184.9	Tremor-like	NaN	NaN	NaN
2023-06-05 00:59:20.898	001111111111111111111111000	22	   1529.4	1	     8.4	     13.3	Inspect	NaN	NaN	NaN
2023-06-05 01:45:09.602	001001011101111111000000000	12	    578.2	6	    12.7	     52.9	HF_6	6	1700	1030
2023-06-05 03:27:05.817	001111111111111111000000000	16	   1149.9	1	    24.7	    122.8	HF_1	1	NaN	895
2023-06-05 04:15:24.097	110111111110110110000110000	16	    678.8	6	    11.1	     20.2	Inspect	NaN	NaN	NaN
2023-06-05 05:02:40.812	000111110010010010100000000	9	    867.4	6	     9.4	     15.3	Inspect	NaN	NaN	NaN
2023-06-05 05:05:08.511	000110100100010110010010000	9	    933.6	6	     6.8	      9.4	Inspect	NaN	NaN	NaN
2023-06-05 05:05:14.267	001111111110110000110110000	15	   1249.1	6	     8.3	     13.4	Inspect	NaN	NaN	NaN
2023-06-05 05:05:21.802	110110100110110010010010000	12	   1764.0	6	     8.1	     11.7	Inspect	NaN	NaN	NaN
2023-06-05 05:17:40.852	111111111110110110000000000	15	    454.7	3	    18.5	     62.5	HF_2	2	1745	980
2023-06-05 06:07:35.470	111001111111111011111111000	21	   6524.2	8	    57.2	    408.7	HF_8	8	1195	NaN
2023-06-05 06:08:27.687	111101111111111111111111000	23	   9608.5	8	   101.4	    627.5	HF_8	8	1275	NaN
2023-06-05 06:17:51.869	111101111111111111101001000	20	   9072.5	8	    44.6	    139.5	HF_8	8	1100	NaN
2023-06-05 07:39:16.444	111111111111111111101111000	23	  14986.7	8	   144.6	   1453.7	HF_8	8	1350	NaN
2023-06-05 11:24:58.958	110111110110110110000010000	14	    565.5	6	    12.1	     36.3	Inspect	NaN	NaN	NaN
2023-06-05 21:19:14.136	111111111111011000000000000	14	    795.6	1	    13.5	     54.1	HF_1	1	NaN	800
2023-06-05 21:19:51.389	001000111110110010000000000	9	    587.9	6	    12.5	     56.0	Inspect	NaN	NaN	NaN
2023-06-05 22:52:13.038	001001111111111111111111000	20	   4610.2	7	    47.2	    303.2	HF_8	8	1865	NaN
2023-06-05 23:03:44.258	111110111111111111111111000	23	  35413.0	7	   279.8	   2135.5	HF_8	8	1785	NaN
2023-06-05 23:52:32.742	000001011111111110000000000	11	   3069.3	5	    22.4	    204.9	HF_5	5	NaN	-1805
2023-06-06 00:29:42.754	000110110110100100000000000	8	    419.6	8	     8.5	     18.0	HF_2	2	570	1335
2023-06-06 03:44:24.778	110111111111110110000000000	15	    421.8	8	    10.6	     22.7	Inspect	NaN	NaN	NaN
2023-06-06 04:50:49.192	000110110110110110100110000	13	    537.9	6	    11.9	     43.7	Inspect	NaN	NaN	NaN
2023-06-06 10:00:51.950	010111110110110110010100000	14	    644.4	6	    15.0	     74.4	SnowAvalanche	NaN	NaN	NaN
2023-06-06 11:10:00.907	110111111110110110000110000	16	    337.5	8	    11.7	     30.4	HF_5	5	745	1340
2023-06-06 12:36:15.041	000000000001001011101111000	9	   1000.1	8	     6.9	     14.7	HF_8	8	1055	NaN
2023-06-06 20:41:29.306	001001011111111111000000000	13	   2020.4	5	    31.7	    223.7	HF_4	4	1500	1205
2023-06-06 21:48:36.735	010101010010000100110100000	9	   1244.4	1	    10.3	     14.4	Tremor-like	NaN	NaN	NaN
2023-06-06 22:18:59.845	110010000100110000010010000	8	    393.6	8	     6.3	     13.5	HF_6	6	600	420
2023-06-07 02:05:09.379	110111110110110110000000000	13	    705.2	6	    15.4	    108.5	Inspect	NaN	NaN	NaN
2023-06-07 02:18:56.131	111111111111111001110110000	20	   1828.9	1	    31.4	     83.7	HF_8	8	490	NaN
2023-06-07 11:47:46.317	110111110110100010000010000	12	    402.0	8	     8.8	     16.1	Inspect	NaN	NaN	NaN
2023-06-07 14:25:04.457	110111110110110110010010000	15	    396.4	8	    10.9	     44.1	Inspect	NaN	NaN	NaN
2023-06-07 18:43:15.570	110111110110100100000000000	11	    427.9	7	     8.7	     30.4	HF_3	3	NaN	8380
2023-06-07 20:58:53.907	110001000111111110000000000	11	    663.6	5	    15.1	     80.4	HF_5	5	1535	860
2023-06-07 22:24:08.037	110111111110110110010110000	17	    419.4	8	    11.2	     25.9	Inspect	NaN	NaN	NaN
2023-06-08 00:53:35.427	100111111111110110110110000	18	   1531.9	6	    13.6	     23.8	Inspect	NaN	NaN	NaN
2023-06-08 00:54:12.211	001011011010100110110110000	13	   1691.5	6	     8.0	     14.7	Inspect	NaN	NaN	NaN
2023-06-08 00:54:33.418	001111110110110110110110000	16	   1422.7	6	     6.8	     11.2	Inspect	NaN	NaN	NaN
2023-06-08 00:55:12.023	111111111111110110110110000	20	   1038.8	6	     9.2	     13.3	Inspect	NaN	NaN	NaN
2023-06-08 01:07:30.901	110111111111110110000010000	16	    391.0	8	    11.8	     27.8	Inspect	NaN	NaN	NaN
2023-06-08 02:20:11.434	001001001001111111000000000	10	    640.8	6	    10.1	     34.8	HF_6	6	1365	595
2023-06-08 02:21:07.281	000001000001010000110111000	8	   1259.5	8	    13.4	    140.6	HF_8	8	1315	NaN
2023-06-08 08:26:12.928	110111111111110110100110000	18	    605.7	1	     8.2	     17.8	HF_2	NaN	NaN	NaN
2023-06-08 08:26:20.644	000010110110100110000110000	10	    458.8	6	    11.4	     26.4	Inspect	NaN	NaN	NaN
2023-06-08 12:10:54.275	011101011101001000000000000	9	    981.5	1	     8.6	     31.5	HF_1	1	NaN	1200
2023-06-08 12:54:16.292	111111111111110110100110000	19	    460.1	6	    12.5	     28.3	Inspect	NaN	NaN	NaN
