Time,AKN,Energy,Std
2022-01-07 00:00:00,2125.6,32.6,16.2
2022-01-07 00:05:00,2118.4,32.5,16.3
2022-01-07 00:10:00,2121.7,32.6,16.3
2022-01-07 00:15:00,2087.0,34.4,15.4
2022-01-07 00:20:00,2060.2,34.1,15.5
2022-01-07 00:25:00,2085.4,34.4,14.5
2022-01-07 00:30:00,2058.3,34.6,14.4
2022-01-07 00:35:00,2033.2,35.6,14.2
2022-01-07 00:40:00,2032.5,33.6,14.9
2022-01-07 00:45:00,2074.8,34.0,14.8
2022-01-07 00:50:00,2103.8,34.5,15.4
2022-01-07 00:55:00,2130.8,34.4,15.4
2022-01-07 01:00:00,2124.4,34.1,15.5
2022-01-07 01:05:00,2117.2,34.1,15.4
2022-01-07 01:10:00,2095.9,33.9,15.4
2022-01-07 01:15:00,2072.6,33.2,15.9
2022-01-07 01:20:00,2078.3,33.2,16.0
2022-01-07 01:25:00,2138.2,32.4,16.5
2022-01-07 01:30:00,2177.1,32.3,16.7
2022-01-07 01:35:00,2231.6,32.4,16.7
2022-01-07 01:40:00,2283.6,35.8,15.4
2022-01-07 01:45:00,2289.6,36.2,15.2
2022-01-07 01:50:00,2299.3,37.5,15.2
2022-01-07 01:55:00,2281.9,38.2,15.3
2022-01-07 02:00:00,2284.3,38.4,15.4
2022-01-07 02:05:00,2242.4,35.2,15.2
2022-01-07 02:10:00,2288.3,34.8,15.5
2022-01-07 02:15:00,2264.3,33.4,16.1
2022-01-07 02:20:00,2320.3,32.8,16.6
2022-01-07 02:25:00,2304.4,32.5,16.8
2022-01-07 02:30:00,2310.5,32.0,17.1
2022-01-07 02:35:00,2313.3,31.9,17.2
2022-01-07 02:40:00,2360.9,31.8,17.3
2022-01-07 02:45:00,2318.2,31.9,17.2
2022-01-07 02:50:00,2342.9,32.2,17.0
2022-01-07 02:55:00,2374.9,32.4,16.9
2022-01-07 03:00:00,2462.4,32.9,16.5
2022-01-07 03:05:00,2487.5,34.1,15.8
2022-01-07 03:10:00,2534.4,34.6,15.7
2022-01-07 03:15:00,2535.4,34.9,15.6
2022-01-07 03:20:00,2526.0,35.4,15.4
2022-01-07 03:25:00,2446.8,36.0,15.1
2022-01-07 03:30:00,2397.3,37.9,15.2
2022-01-07 03:35:00,2385.7,39.3,15.7
2022-01-07 03:40:00,2391.5,39.6,15.7
2022-01-07 03:45:00,2434.5,40.6,16.1
2022-01-07 03:50:00,2516.2,40.5,16.2
2022-01-07 03:55:00,2546.6,38.2,15.2
2022-01-07 04:00:00,2583.0,37.4,15.1
2022-01-07 04:05:00,2616.9,36.9,15.3
2022-01-07 04:10:00,2619.8,36.0,15.6
2022-01-07 04:15:00,2546.3,35.2,15.8
2022-01-07 04:20:00,2535.7,34.6,16.0
2022-01-07 04:25:00,2544.8,33.4,15.6
2022-01-07 04:30:00,2568.0,33.4,15.7
2022-01-07 04:35:00,2572.3,32.8,16.0
2022-01-07 04:40:00,2604.7,32.8,16.0
2022-01-07 04:45:00,2644.2,32.9,16.0
2022-01-07 04:50:00,2584.9,33.2,16.6
2022-01-07 04:55:00,2602.0,33.4,16.5
2022-01-07 05:00:00,2617.1,34.1,16.1
2022-01-07 05:05:00,2571.2,34.4,15.9
2022-01-07 05:10:00,2547.3,34.5,15.8
2022-01-07 05:15:00,2586.5,35.8,15.4
2022-01-07 05:20:00,2579.0,36.2,15.2
2022-01-07 05:25:00,2594.7,36.6,15.2
2022-01-07 05:30:00,2620.3,37.3,15.5
2022-01-07 05:35:00,2640.7,37.9,15.7
2022-01-07 05:40:00,2611.6,37.2,15.7
2022-01-07 05:45:00,2572.0,36.5,15.7
2022-01-07 05:50:00,2492.6,35.6,15.5
2022-01-07 05:55:00,2506.3,34.8,15.6
2022-01-07 06:00:00,2568.3,34.2,15.7
2022-01-07 06:05:00,2592.9,33.4,16.1
2022-01-07 06:10:00,2600.8,33.5,16.2
2022-01-07 06:15:00,2675.9,33.5,16.6
2022-01-07 06:20:00,2599.1,33.1,16.9
